id,topic,question_examples,answer,link,keywords
1,Выплаты,когда придут деньги; не пришла выплата; почему нет оплаты; задержали выплату; где мои деньги,"Выплата может задержаться из-за выходных, проверки данных, ошибки в реквизитах или технической задержки. Проверьте статус выплаты в приложении и актуальность реквизитов. Если статус не изменится в течение 1–3 рабочих дней, обратитесь в поддержку и укажите дату, сумму и город.",https://platform.example/docs/payouts,выплата деньги оплата задержка реквизиты баланс сумма перевод
2,Выплаты,как изменить реквизиты; карта не подходит; хочу поменять карту; неверные реквизиты,"Чтобы изменить реквизиты, откройте раздел профиля с платежными данными, удалите старую карту или счет и добавьте новые данные. После изменения может потребоваться повторная проверка. До завершения проверки выплаты могут быть приостановлены.",https://platform.example/docs/payment-details,реквизиты карта счет банк платежные данные изменить
3,Выплаты,почему выплата меньше; не хватает денег; сумма не совпадает; неверно посчитали выплату,"Если сумма выплаты меньше ожидаемой, проверьте детализацию заказов, комиссии, бонусы, удержания и возможные списания. Если расхождение остается, отправьте обращение в поддержку с номером заказа и скриншотом расчета.",https://platform.example/docs/payout-calculation,сумма меньше расчет комиссия бонус удержание детализация
4,Выплаты,когда первая выплата; новичок выплата; первая неделя деньги; первый перевод,"Первая выплата у новых водителей может идти дольше из-за проверки профиля и реквизитов. Проверьте, что документы подтверждены, а платежные данные заполнены без ошибок.",https://platform.example/docs/first-payout,первая выплата новичок проверка профиль первая неделя
5,Выплаты,не отображается баланс; пропал баланс; баланс ноль; не вижу заработок,"Если баланс не отображается, обновите приложение, проверьте интернет и перезайдите в аккаунт. Если проблема сохраняется, зафиксируйте время ошибки и отправьте скриншот в поддержку.",https://platform.example/docs/balance,баланс заработок отображается пропал приложение ошибка
6,Выплаты,как получить акт; нужен отчет о доходах; где справка о выплатах; история выплат,"Историю выплат и отчет о доходах можно посмотреть в финансовом разделе приложения. Если нужен отдельный документ, сформируйте его в личном кабинете или запросите через поддержку.",https://platform.example/docs/income-report,отчет доход справка акт история выплат
7,Блокировка,меня заблокировали; почему блокировка; заблокировали аккаунт; не могу работать,"Блокировка может быть связана с документами, жалобами, нарушением правил, подозрительной активностью или частыми отменами. Проверьте уведомления в приложении: обычно там указана причина и дальнейшие действия.",https://platform.example/docs/blocked,блокировка заблокировали аккаунт доступ причина нарушение
8,Блокировка,не могу выйти на линию; нет доступа к заказам; отключили от заказов; линия недоступна,"Если вы не можете выйти на линию, проверьте статус документов, версию приложения, интернет и уведомления о возможных ограничениях. Если ограничений нет, перезапустите приложение и обратитесь в поддержку.",https://platform.example/docs/online-status,линия заказы доступ отключили выйти смена
9,Блокировка,как оспорить блокировку; не согласен с блокировкой; восстановить доступ,"Чтобы оспорить блокировку, напишите в поддержку: укажите дату блокировки, город, обстоятельства и приложите доказательства. Чем точнее описание, тем быстрее обращение смогут проверить.",https://platform.example/docs/appeal-block,оспорить блокировку апелляция восстановить доступ поддержка
10,Блокировка,временно ограничили доступ; ограничение профиля; частичная блокировка,"Временное ограничение может вводиться на период проверки документов, жалобы или подозрительного действия. Дождитесь результата проверки или уточните статус в поддержке.",https://platform.example/docs/restrictions,ограничение временно проверка профиль доступ
11,Блокировка,заблокировали из-за документов; документы просрочены; доступ закрыт из-за прав,"Если доступ закрыт из-за документов, обновите просроченный документ или загрузите более четкое фото. После повторной проверки доступ обычно восстанавливается автоматически.",https://platform.example/docs/document-block,документы просрочены права проверка доступ
12,Рейтинг,почему упал рейтинг; снизился рейтинг; рейтинг стал ниже; что влияет на рейтинг,"Рейтинг может снижаться из-за отмен, опозданий, жалоб клиентов, низких оценок или нарушений стандартов сервиса. Проверьте последние заказы и старайтесь выполнять поездки без отмен и опозданий.",https://platform.example/docs/rating,рейтинг оценка снизился жалоба отмена опоздание
13,Рейтинг,как поднять рейтинг; восстановить рейтинг; улучшить рейтинг,"Чтобы повысить рейтинг, выполняйте заказы стабильно, избегайте отмен, приезжайте вовремя и следите за качеством сервиса. Обычно рейтинг восстанавливается постепенно после серии успешных заказов.",https://platform.example/docs/improve-rating,поднять рейтинг улучшить восстановить заказы качество
